account,Rewards,combined_points,badge_17_tier,badge_17_points,badge_22_tier,badge_22_points,badge_26_tier,badge_26_points,pp_level
0xe8ff52833285406cbf0a9f5665333dba3b5a4ca4,400,500,1,200,5,300,,0,4
0x989955d7873bbbb0b7d8802e38a4f368494803c1,400,500,1,200,5,300,,0,4
0xc1af985116915762f712a62e7bd7d331508cc57a,300,460,1,200,4,200,2,60,4
0x2c8bcac3a773451a7b39dc8ec690c4d516819aa7,300,460,1,200,4,200,2,60,4
0xfa7bd24aa077ab3308bcd0e36636ba080ac9cb27,300,460,1,200,4,200,2,60,4
0x8d4689f7ca3f54fcb69fbfb60020304ea1f94ac1,300,460,1,200,4,200,2,60,4
0x0e1d5a0f474fd16bfbe66721b1cd5f058caa4835,300,460,1,200,4,200,2,60,4
0xe6dfd5c6a8a468990dcc0afcda36d302dfbaf2fd,300,460,1,200,4,200,2,60,4
0xa4cb98976172b87491b25becdb15d58fd98a704f,300,460,1,200,4,200,2,60,4
0xd446d18ea0204de23937532d3ef1ae1ea12e634a,300,460,1,200,4,200,2,60,4
0x116e7dff4105e14226e7403a717514d876f1c92e,300,440,1,200,3,120,3,120,5
0xdee734e6731cfed6d1adf5726bbd6e2483732095,300,440,1,200,3,120,3,120,4
0xa8afa10bc4f4be95469ee78326127c5d0dd97dc1,300,420,,0,5,300,3,120,4
0x17244441de9635d0f387f68c1ee126e2e4ccdda1,300,420,,0,5,300,3,120,4
0xf716bf6654915f83bad30ac3136cf7870cb85f9d,300,420,,0,5,300,3,120,4
0x5d88b7b64e59483215a8ed76d5a96409c5d5cf41,300,420,,0,5,300,3,120,4
0xb4cc03c4af49adcf71425f6d99091b6b8b11cfda,300,420,,0,5,300,3,120,3
0x5fd13e2ff955e63b4c2b38501b20d57bce63c3d6,300,420,,0,5,300,3,120,4
0x82e5fe434e46d9fe3900bbd98166b953a4879965,300,420,,0,5,300,3,120,4
0x5f09ad0e9f0f1e952cea47b0134b4ee03aeb92e3,300,420,,0,5,300,3,120,4
0xe69f432682e6a6334f9e74adae4597fda96569a6,300,420,,0,5,300,3,120,4
0xc7f11425c57870e733de91902f60038380c26a63,300,420,,0,5,300,3,120,4
0x5aaa682cb4367e4352628dd160d873c71e3442d4,300,420,,0,5,300,3,120,4
0xc32c8f51d54a3267024325e37c8b946a16f01aa0,300,420,,0,5,300,3,120,4
0x1f501e1fbb78642e9010a8da8c6755221c3c9670,300,420,,0,5,300,3,120,4
0x1aa9bb373edec0e22618e2708cd8c0329bed0ff0,300,420,,0,5,300,3,120,4
0x89052ad52cc0fad872ba372c6357212566ac0454,300,420,,0,5,300,3,120,4
0xaffa1f6814b1ecdb347e258aa0805463d6759756,300,420,,0,5,300,3,120,4
0x88505f155a6aacd73760a14eb389bb248d2dfe84,300,420,,0,5,300,3,120,4
0xc5bcbd1ebd282c1852673e9db381be25099a430a,300,420,,0,5,300,3,120,4
0x1b0b7e4300ec9b76db387df27690b834de6cf2bd,300,420,,0,5,300,3,120,4
0x26a213ac051e94bfb5b384753a31ae72ff5bc899,300,420,,0,5,300,3,120,4
0xe53f99475a668872766c8a8e9e8dde600e5f8896,300,420,1,200,4,200,1,20,4
0xe3ec496ecf5cac65a5f27795cfafc88f4f240703,300,420,,0,5,300,3,120,4
0x09df359273212e7b58dd5c751687ed38541887c1,300,420,,0,5,300,3,120,4
0x29b461c835bb9daeaa5fcb7aec8fbecf631719d7,300,420,,0,5,300,3,120,4
0x0c57162b2f70b515c9ea73bbf2edf339f052f3a4,300,420,,0,5,300,3,120,4
0x1a597777e0e0e4b036e797171591a38645bd4d65,300,420,,0,5,300,3,120,4
0xc7d46d919717b1f60711d6ede501d8b0ac42c259,300,420,1,200,4,200,1,20,4
0xf5928654be31d154a70caead4467b5d8324bff47,300,420,,0,5,300,3,120,4
0x89d80469c6a9051d8303de798585fb06fa21512c,300,420,,0,5,300,3,120,4
0x148ce0ce3b3e2a7b9032e4978faa3cc7a39bb0c5,300,420,,0,5,300,3,120,4
0x9ded3e5631824a3aedf748741b63fc5049609174,300,420,,0,5,300,3,120,4
0x88bbab6d2007725f0be2a810cb1b7fc6d92f90c2,300,420,,0,5,300,3,120,4
0x30b8c5f9c42e666d387726669d9fad0777d559e3,300,420,1,200,4,200,1,20,4
0x6dcb89e4b1bc8d80eb6457262c6f7df1b1872bef,300,420,,0,5,300,3,120,4
0xeeddcb3664ec4e39e71408f8813d16634709d3e6,300,420,,0,5,300,3,120,4
0x8caaa0b95dbd7136f41064c46bcc9ce6cad19510,300,420,,0,5,300,3,120,4
0xb2644e6986dfad9677c2d274d4abd1c46dec01d6,300,420,,0,5,300,3,120,4
0x8abcb69246d557405f37c31337baad7ccd345ff7,300,420,,0,5,300,3,120,4
0x103efa8543661bcad3375a7c98d259e6c34879b2,300,400,1,200,4,200,,0,3
0x4221e23d2e8bf41ad9668c7cf35e69e3825c9a49,300,400,,0,4,200,4,200,4
0x9933475ea3d8c96192e7021c9239816bc70ebb48,300,400,1,200,4,200,,0,4
0xba5734fe843cfebaa85794e9d108d7590bad7080,300,400,1,200,4,200,,0,4
0x379d89cb8fb9f804207eef44959351b6b037d7f4,300,400,1,200,4,200,,0,4
0x6dad0517f305d1ee60963d3e4144fa127e28085e,300,400,1,200,4,200,,0,3
0xbb245292a41d14ef33d9179ba293f5fd483a1d2e,200,380,1,200,3,120,2,60,4
0xddad97e096f5aabedb533e9431b3953047b21d2f,200,380,1,200,3,120,2,60,4
0xc9a2c707669af0235cfe7e9733a08694d0f69376,200,380,1,200,3,120,2,60,4
0x6203f6aea81028b338c90dd61e0c3d29e7113e01,200,380,1,200,3,120,2,60,4
0x16b6917746f7423dd9aeb6fa8907e9584f3462ff,200,380,1,200,3,120,2,60,3
0xee80c6e15f638bc33e859693c0bb66f8925ffc3e,200,360,,0,5,300,2,60,3
0x509402288dedded18720b7f3a476271e0002ada1,200,360,,0,5,300,2,60,4
0xe08216ca07c86e0ac7ce420d886d2ce9d7c97a28,200,360,,0,5,300,2,60,4
0x2395a896135797e817db5d6bc13d3a6bd5fa5502,200,360,,0,5,300,2,60,4
0xe881c317fb9c2764b8bea1382ff42def8ef8147c,200,360,,0,5,300,2,60,4
0x5e29e437ee4df5ea1461124891d2d8282e9d257e,200,360,,0,5,300,2,60,4
0xd1d2dbfee66beae75385f882b9073c264189b125,200,360,,0,5,300,2,60,3
0xed4cbcd8ac83604c16235e642c513561b7c6f9f1,200,360,,0,5,300,2,60,3
0xe408565db8873deb1400ab50f04826eeb579ed1c,200,360,,0,5,300,2,60,3
0x4e45de1ce901bd8b6e36969d521360de83ef2391,200,360,,0,5,300,2,60,3
0xdda64ec853dc92398730fd828952cbed9495836d,200,360,,0,5,300,2,60,4
0x256cdf8a79a41e849de8768cf850dbd26c6d9d05,200,360,,0,5,300,2,60,4
0x9fcac6c38387280ecd718cd8568c147edfe7c4c6,200,360,,0,5,300,2,60,3
0x952ee5728d20abaff979c11efa0ebaff1db6ff6e,200,360,,0,5,300,2,60,4
0x42fc692593ec7a9f63dcb49bfc1bb9f7e1118197,200,360,,0,5,300,2,60,4
0xf39817549ccb660510729ea0dd8289121074a99a,200,360,,0,5,300,2,60,3
0x513e679ea731b6ba6df8174e1a6d058be8ac5ddb,200,360,,0,5,300,2,60,4
0x0203c3be0ebbd6a48b421420ed3c638561310488,200,360,,0,5,300,2,60,4
0x554290f43c9d7230b9c05ceb2f37c345541ec5ce,200,360,,0,5,300,2,60,3
0x6c8325a93fe96aac93be9508637f3b3d3fb0288b,200,360,,0,5,300,2,60,4
0x123b46945e06233ac62b548f3aff247823603ecb,200,360,,0,5,300,2,60,4
0xc92a3979eb347aec84ae4cae0dae605711baf57e,200,360,,0,5,300,2,60,4
0x1d919c2aceab7085998f6d0a6ba4203b608ed834,200,360,,0,5,300,2,60,4
0x710481d45da985f705993e6078923e4c9b560b17,200,360,,0,5,300,2,60,3
0x0b178d7827d31ca55a975a4cde8f5833b2805e9b,200,360,,0,5,300,2,60,3
0xa753d19b75f4e51c161d821ff3bc447566f87a34,200,360,,0,5,300,2,60,3
0xfc1c4c78c70993dc8ce9c2478084f6ef8868ad49,200,360,,0,5,300,2,60,4
0xfafc6d42ed3ee9c70ffb6a6f7cfdb6bc614e426a,200,360,,0,5,300,2,60,3
0x020f81326a3985f158fc56f7c934fc256cbeb1eb,200,360,,0,5,300,2,60,4
0xabea76d098af06b03e885deb9531ccdc3438f256,200,360,,0,5,300,2,60,4
0x9803c8be9c6a0ab4d1513a06ca9bbcf9ba62841d,200,360,,0,5,300,2,60,4
0x26581c88f6a9dd70e2d2a49b577ed70791884f10,200,360,,0,5,300,2,60,4
0xb86e2a87fdabb6363df7e29ae2e47175052f2571,200,360,,0,5,300,2,60,3
0x2a666834a2d8188c342709581b8e402c9d88d471,200,360,,0,5,300,2,60,4
0x49385b2b895f988a99dff9c6beb48703ef34ab21,200,360,,0,5,300,2,60,4
0xdacd11c5ab331792b6e9a425cb2fb96c38603321,200,360,,0,5,300,2,60,4
